SKU,Product_Name,Category,Current_Stock,Reorder_Point,Max_Stock,Unit_Cost,Supplier_ID,Last_Updated,Location,Warehouse_ID,Lead_Time_Days,Quality_Score,Status
INV-001,Wireless Headphones,Electronics,150,50,300,89.99,SUP-001,2025-01-20,Zone A,WH-001,7,95,Active
INV-002,Bluetooth Speaker,Electronics,75,25,150,45.50,SUP-001,2025-01-20,Zone A,WH-001,5,92,Active
INV-003,USB-C Cable,Electronics,500,100,1000,12.99,SUP-002,2025-01-20,Zone B,WH-001,3,98,Active
INV-004,Phone Case,Accessories,200,40,400,8.99,SUP-003,2025-01-20,Zone C,WH-001,4,90,Active
INV-005,Power Bank,Electronics,80,20,200,29.99,SUP-001,2025-01-20,Zone A,WH-001,6,94,Active
INV-006,Screen Protector,Accessories,300,60,600,4.99,SUP-003,2025-01-20,Zone C,WH-001,2,96,Active
INV-007,Wireless Mouse,Electronics,120,30,250,24.99,SUP-002,2025-01-20,Zone B,WH-001,4,93,Active
INV-008,Laptop Stand,Accessories,60,15,120,39.99,SUP-004,2025-01-20,Zone D,WH-001,8,91,Active
INV-009,Keyboard,Electronics,45,10,100,79.99,SUP-002,2025-01-20,Zone B,WH-001,5,97,Active
INV-010,Webcam,Electronics,30,5,80,59.99,SUP-001,2025-01-20,Zone A,WH-001,6,89,Active
INV-011,Microphone,Electronics,25,5,60,89.99,SUP-001,2025-01-20,Zone A,WH-001,7,92,Active
INV-012,Tablet Stand,Accessories,90,20,180,19.99,SUP-004,2025-01-20,Zone D,WH-001,4,88,Active
INV-013,Wireless Charger,Electronics,70,15,150,34.99,SUP-001,2025-01-20,Zone A,WH-001,5,95,Active
INV-014,Cable Organizer,Accessories,150,30,300,6.99,SUP-003,2025-01-20,Zone C,WH-001,3,94,Active
INV-015,Portable Monitor,Electronics,20,3,50,199.99,SUP-002,2025-01-20,Zone B,WH-001,10,96,Active 