Order_ID,Customer_ID,Product_SKU,Quantity,Sale_Price,Total_Amount,Sale_Date,Payment_Method,Sales_Rep_ID,Region,Channel,Discount_Applied,Shipping_Cost,Profit_Margin
ORD-001,CUST-001,INV-001,2,89.99,179.98,2025-01-15,Credit Card,REP-001,North America,Online,0.00,12.99,45.50
ORD-002,CUST-002,INV-002,1,45.50,45.50,2025-01-15,PayPal,REP-002,Europe,Online,5.00,8.99,12.25
ORD-003,CUST-003,INV-003,5,12.99,64.95,2025-01-16,Bank Transfer,REP-001,Asia,Retail,0.00,0.00,18.75
ORD-004,CUST-004,INV-004,3,8.99,26.97,2025-01-16,Credit Card,REP-003,North America,Online,2.00,5.99,8.10
ORD-005,CUST-005,INV-005,1,29.99,29.99,2025-01-17,PayPal,REP-002,Europe,Online,0.00,9.99,8.50
ORD-006,CUST-001,INV-006,10,4.99,49.90,2025-01-17,Credit Card,REP-001,North America,Online,5.00,0.00,15.00
ORD-007,CUST-006,INV-007,2,24.99,49.98,2025-01-18,Bank Transfer,REP-003,Asia,Retail,0.00,0.00,14.25
ORD-008,CUST-007,INV-008,1,39.99,39.99,2025-01-18,Credit Card,REP-002,Europe,Online,0.00,12.99,12.00
ORD-009,CUST-008,INV-009,1,79.99,79.99,2025-01-19,PayPal,REP-001,North America,Online,10.00,15.99,24.00
ORD-010,CUST-009,INV-010,1,59.99,59.99,2025-01-19,Credit Card,REP-003,Asia,Online,0.00,8.99,18.00
ORD-011,CUST-010,INV-011,1,89.99,89.99,2025-01-20,Bank Transfer,REP-002,Europe,Retail,0.00,0.00,27.00
ORD-012,CUST-002,INV-012,2,19.99,39.98,2025-01-20,Credit Card,REP-001,North America,Online,3.00,6.99,12.00
ORD-013,CUST-011,INV-013,1,34.99,34.99,2025-01-20,PayPal,REP-003,Asia,Online,0.00,7.99,10.50
ORD-014,CUST-012,INV-014,5,6.99,34.95,2025-01-21,Credit Card,REP-002,Europe,Online,0.00,0.00,10.50
ORD-015,CUST-013,INV-015,1,199.99,199.99,2025-01-21,Bank Transfer,REP-001,North America,Retail,0.00,0.00,60.00
ORD-016,CUST-014,INV-001,1,89.99,89.99,2025-01-21,Credit Card,REP-003,Asia,Online,0.00,12.99,27.00
ORD-017,CUST-015,INV-002,3,45.50,136.50,2025-01-22,PayPal,REP-002,Europe,Online,10.00,15.99,41.00
ORD-018,CUST-016,INV-003,8,12.99,103.92,2025-01-22,Credit Card,REP-001,North America,Online,0.00,0.00,30.00
ORD-019,CUST-017,INV-004,4,8.99,35.96,2025-01-22,Bank Transfer,REP-003,Asia,Retail,0.00,0.00,10.80
ORD-020,CUST-018,INV-005,2,29.99,59.98,2025-01-23,Credit Card,REP-002,Europe,Online,0.00,12.99,18.00 